grid_id,grid_lat,grid_lon,date,fire_count,avg_brightness,avg_frp,max_frp,baseline_mean,baseline_std,z_score,is_anomaly
40.75_29.5,40.75,29.5,2026-08-31,1,303.12,0.88,0.88,1.5,0.7071067811865476,-0.7071067811865475,False
40.75_29.75,40.75,29.75,2026-08-26,1,309.96,1.11,1.11,,,,False
40.75_29.75,40.75,29.75,2026-08-30,1,311.6,1.5,1.5,1.0,,,False
40.75_31.75,40.75,31.75,2026-08-31,1,300.56,0.74,0.74,,,,False
40.75_35.25,40.75,35.25,2026-08-31,2,353.11,5.71,7.75,,,,False
40.75_35.25,40.75,35.25,2026-09-01,1,333.64,2.47,2.47,2.0,,,False
40.75_35.5,40.75,35.5,2026-08-27,1,331.17,2.18,2.18,,,,False
41.0_32.5,41.0,32.5,2026-08-26,2,304.9,1.415,1.44,,,,False
41.0_32.5,41.0,32.5,2026-08-27,1,335.66,3.71,3.71,2.0,,,False
41.0_32.5,41.0,32.5,2026-08-31,6,301.22166666666664,1.1166666666666665,1.52,1.5,0.7071067811865476,6.363961030678928,True
41.0_36.0,41.0,36.0,2026-08-26,1,297.04,0.46,0.46,,,,False
41.0_36.25,41.0,36.25,2026-08-26,5,326.196,3.8,6.06,,,,False
41.0_36.25,41.0,36.25,2026-08-30,2,335.485,4.085,4.65,5.0,,,False
41.0_36.25,41.0,36.25,2026-09-01,1,333.56,3.08,3.08,3.5,2.1213203435596424,-1.1785113019775793,False
41.25_27.5,41.25,27.5,2026-08-30,1,298.14,0.81,0.81,,,,False
41.5_27.5,41.5,27.5,2026-08-26,1,309.21,1.36,1.36,,,,False
41.5_27.5,41.5,27.5,2026-08-31,2,305.09000000000003,1.05,1.12,1.0,,,False
41.5_35.75,41.5,35.75,2026-08-26,1,308.52,1.52,1.52,,,,False
41.75_26.5,41.75,26.5,2026-08-26,1,299.04,0.57,0.57,,,,False
41.75_26.5,41.75,26.5,2026-08-30,1,297.96,0.48,0.48,1.0,,,False
